,id,name,price
0,1,Chocolate Sandwich Cookies,3.5
1,2,All-Seasons Salt,4.99
2,3,Robust Golden Unsweetened Oolong Tea,2.49
3,4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,6.99
4,5,Green Chile Anytime Sauce,7.99
5,6,Dry Nose Oil,21.99
6,7,Pure Coconut Water With Orange,3.5
7,8,Cut Russet Potatoes Steam N' Mash,4.25
8,9,Light Strawberry Blueberry Yogurt,6.5
9,10,Sparkling Orange Juice & Prickly Pear Beverage,2.99
10,11,Peach Mango Juice,1.99
11,12,Chocolate Fudge Layer Cake,18.5
12,13,Saline Nasal Mist,16.0
13,14,Fresh Scent Dishwasher Cleaner,4.99
14,15,Overnight Diapers Size 6,25.5
15,16,Mint Chocolate Flavored Syrup,4.5
16,17,Rendered Duck Fat,9.99
17,18,Pizza for One Suprema  Frozen Pizza,12.5
18,19,Gluten Free Quinoa Three Cheese & Mushroom Blend,3.99
19,20,Pomegranate Cranberry & Aloe Vera Enrich Drink,4.25
